Job_Title,Skill,Company,Company_Industry,No_of_Reviews,No_of_Stars,Date_Since_Posted,Location,Company_Employees
"Data Analyst, Technology",T-SQL| PL/SQL| Data Mining| Microsoft Powerpoint| SPSS| R| SAS| Python| Microsoft Office,Raymond James,Banks and Financial Services,480,3.900000095,1,FL,
Data Analyst,Quantitative Analysis| Microsoft Powerpoint| SAS| SQL,BBYO -,,,,15,MI,
Research Data Analyst,Microsoft Office,Stanford University,Education and Schools,530,4.300000191,6,CA,"Less than 10,000"
Data Analyst,R| Python| SQL,Cota,,66,3.900000095,21,NY,
Health Data Analyst,Quantitative Analysis| Data Mining| Microsoft Powerpoint| Microsoft Office,Booz Allen Hamilton,Consulting and Business Services,1733,3.900000095,1,MD,"10,000+"
Data Analyst,,Ace Technologies,Internet and Software,16,4.099999905,6,MA,
Data Analyst,JavaScript| R| Excel| SQL| Tableau,New Visions for Public Schools,Education and Schools,9,4.099999905,18,NY,
Systems/Data Analyst I,SQL,Canton-Potsdam Hospital,Health Care,23,2.900000095,7,NY,
Data Analyst (JetBlue Travel Products),JavaScript| Go| Azure| Google Cloud Platform| SQL| Tableau| Java| IaaS| Python| AWS,JetBlue Airways Corporation,Transport and Freight,732,4.199999809,29,FL,"10,000+"
Data Analyst - MSI,SQL| Tableau,NYSTEC,,4,4.300000191,7,NY,
Associate Data Analyst,,National Grid,,575,3.900000095,26,NY,
Item Data Analyst,Time Management| Data Analysis| Excel| SQL| Microsoft Access,The Home Depot,RetailConsumer Goods and Services,41290,3.799999952,3,GA,"10,000+"
Data Analyst,,"Resolvit, LLC",Consulting and Business Services,29,3.599999905,9,NC,"Less than 10,000"
Data Analyst,SharePoint| Time Management| Microsoft Powerpoint| Microsoft Office| Tableau,"Goodwill Industries International, Inc. (GII)",Organization,14245,3.599999905,14,MD,"Less than 10,000"
Data Analyst,,Ace Technologies,Internet and Software,16,4.099999905,7,MA,
Associate Data Analyst,,The Hanover Insurance Group,Insurance,255,3.799999952,30,MA,"Less than 10,000"
Data Analyst,Microsoft Powerpoint,Glassview Media,,,,30,NY,
Data Analyst,Hive| Ruby| Data Mining| ERP Systems| XML| SAP| R| SAS| C/C++| Minitab| SQL| JSON| Excel| Microsoft Office| SPSS| QlikView| NoSQL| MATLAB| Python,"STOBER Drives, Inc.",,,,16,KY,
Data Analyst,Database Administration| R| SQL| Excel| Microsoft Office| Microsoft Access,General Dynamics Information Technology,Aerospace and Defense,4573,3.799999952,18,DC,"10,000+"
Data Analyst,Data Mining,Ace Technologies,Internet and Software,16,4.099999905,11,MO,
Data Analyst,,Advance Auto Parts,Auto,5042,3.5,16,NC,"10,000+"
Data Analyst,Google Analytics| Data Analysis| R| Python| SQL| AWS,23andMe,Health Care,4,4,22,CA,"Less than 10,000"
Data Analyst,Microsoft SQL Server| SQL| Tableau,Healthtronics,,33,3.700000048,30,TX,
Business Data Analyst,Oracle| Crystal Reports| Excel,DHL,,323,3.900000095,6,GA,
Sr. Data Analyst,Microsoft SQL Server| SQL| Tableau,Progrexion Holdings Inc,Consulting and Business Services,243,3.5,2,UT,"Less than 10,000"
"Data Analyst, Client Intelligence",SQL| Tableau,Lytx,Internet and Software,9,3.799999952,7,CA,"Less than 10,000"
Training Data Analyst,SharePoint| LMS| Excel,Southern California Edison,Energy and Utilities,706,4,4,CA,"10,000+"
Data Analyst,SQL| Tableau,Fortive,,,,19,MN,
Commission Data Analyst II,Project Management| Marketing| SQL| Excel| Microsoft Office| Microsoft Access,doTERRA International,Consumer Goods and Services,149,4.400000095,1,UT,
Market Data Analyst,Analysis Skills,Intercontinental Exchange,Banks and Financial Services,81,3.5,26,NY,
Associate Data Analyst,,The Hanover Insurance Group,Insurance,255,3.799999952,30,MI,"Less than 10,000"
Data Analyst,OBIEE| Power BI| Hadoop| R| Oracle| SQL| Tableau| Java| Data Warehouse| QlikView| Python,Abilene Christian University,Education and Schools,55,4.300000191,2,TX,
Data Analyst,,London Stock Exchange Group,,14,4.099999905,30,NC,
Data Analyst,Salesforce CRM| Data Analysis,Goby,,,,19,IL,
"Data Analyst, Entry Level (Graduate Degree)",Java| Data Mining| Machine Learning| OOP| UI,Paypal,Banks and Financial Services,988,3.900000095,30,CA,"10,000+"
Academic Affairs Data Analyst,Qualtrics| Microsoft Office| SQL| HTML5| SPSS| Data Analysis,Georgia Military College,Education and Schools,89,4.099999905,20,GA,
Data Analyst,,CDW,,,,1,IL,
Social Data Analyst,Power BI| SQL,Rational Consulting,,,,26,WA,
Materials Mgmt Data Analyst,ERP Systems,Honeywell,Industrial Manufacturing,6497,3.799999952,15,TN,"10,000+"
Bike Share Data Analyst,Analysis Skills| Python,NYC Careers,Government,86,4.099999905,30,NY,
Data Analyst - Allen,Data Mining| SQL,Boss Fight Entertainment,,,,30,TX,
MES Data Analyst,Time Management| Microsoft Office,"Butterball, LLC",,509,3.700000048,8,NC,
Data Analyst Intern,Data Mining| Technical Writing| R| SQL| Excel| Tableau| Confluence| MySQL| Python| Jira,Sony Interactive Entertainment PlayStation,Computers and Electronics,34,3.599999905,4,CA,
Data Analyst,Microsoft SQL Server| Analysis Skills| XML| Crystal Reports| SQL,Clarity USA,,,,15,GA,
Master Data Analyst,ERP Systems| Microsoft Office,Tesla,Industrial Manufacturing,1445,3.599999905,14,UT,"10,000+"
Data Analyst,SQL| Excel| Tableau,Mixbook,,3,4.300000191,3,CA,
Data Analyst,Data Analysis,Memorial Sloan Kettering,Health Care,753,4.199999809,11,NY,"10,000+"
Research & Data Analyst (Long Term Temporary),Qualitative Research| Excel| Tableau| STATA,King County Housing Authority,Government,14,4,25,WA,
Data Analyst,Financial Accounting| Excel,Columbia University,Education and Schools,830,4.099999905,26,NY,
Data Analyst,TensorFlow| Linux| Data Mining| Machine Learning| R| DynamoDB| CI/CD| SAS| Natural Language Processing| STATA| Git| SPSS| Software Development| Shell Scripting| PostgreSQL| Python| AWS,Commonwealth of Massachusetts,Government,353,3.900000095,30,MA,
Data Analyst I,Machine Learning| Data Science,ZIN TECHNOLOGIES INC.,,11,3.799999952,20,OH,
Data Analyst,SQL| Tableau,DISH,"Media, News and Publishing",4479,3.299999952,22,CO,"10,000+"
Data Analyst,Business Intelligence,Masco,Industrial ManufacturingConstruction,450,3.400000095,7,MI,"10,000+"
Data Analyst - eCommerce,SQL| Microsoft Access| Leadership Experience,The Wonderful Company LLC,Consumer Goods and Services,19,3.200000048,19,CA,"Less than 10,000"
Research Data Analyst,Clinical Trials| SQL,University of California San Francisco,Education and Schools,282,4.199999809,30,CA,
Data Analyst,R| SQL| Tableau| Python,eSpark,,2,3,30,CA,
Business Data Analyst,Data Mining| R| SAS| SQL| Excel,"Health One Alliance, LLC",,,,19,GA,
Health Data Analyst,Microsoft Word| Audits,Teacher Retirement System of Texas,Government,10,2.5,7,TX,"Less than 10,000"
Data Analyst,SPSS| Statisical Analysis| Microsoft Office,Emory University,Education and Schools,580,4.099999905,30,GA,
Data Analyst,Microsoft Powerpoint| Project Management| Statisical Analysis| SAS| Tableau,Major League Soccer,,24,4.099999905,30,NY,
Data Analyst,SQL,Brown & Brown Insurance,,,,30,CA,
"Data Analyst- Glendale, CA",Microsoft Word| Microsoft Office| Excel| SQL| Microsoft Access,Fidelity National Financial,Insurance,576,3.799999952,6,CA,"10,000+"
GIS DATA ANALYST,"ArcGIS| ""Drivers License""| GIS| Python",City of Tucson,Government,70,3.700000048,19,AZ,
Data Analyst,Data Analysis,General Dynamics Information Technology,Aerospace and Defense,4573,3.799999952,21,AR,"10,000+"
Data Analyst-HEDIS & Star,Microsoft SQL Server| SAS| SQL| Microsoft Office| Managed Care,SCAN Health Plan,Insurance,87,4,8,CA,
Data Analyst,Microsoft SQL Server| SQL| Microsoft Access| REST,Alegeus Technologies,,14,3.099999905,30,FL,
Data Analyst,Data Mining| Microsoft SQL Server| SQL,Ciox Health,Internet and Software,1119,2.900000095,13,NY,"Less than 10,000"
Data Analyst,Quantitative Analysis| Microsoft Powerpoint| SAS| SQL,BBYO -,,,,15,MD,
Senior Data Analyst,,The Hanover Insurance Group,Insurance,255,3.799999952,30,MA,"Less than 10,000"
"Associate Analyst, Data Analytics",Microsoft Powerpoint| Excel,"CMI Media and Compas, Inc.",Consulting and Business Services,7,3.599999905,30,NJ,"Less than 10,000"
Data Analyst,,Graphic Products,,,,30,OR,
Data Analyst,Business Intelligence| Excel| Microsoft Office| SQL| Tableau| Data Warehouse| Python,Cresco Labs,,3,2.299999952,4,IL,
Civic Engagement Data Analyst,Data Analysis| Excel,AltaMed,Health Care,233,3.700000048,5,CA,
Data Analyst,Java| R| Python,Capgemini,Consulting and Business Services,6072,3.799999952,20,NY,"10,000+"
Data Analyst,Java| R| Python,Capgemini,Consulting and Business Services,6072,3.799999952,20,NY,"10,000+"
Data Analyst,Java| R| Python,Capgemini,Consulting and Business Services,6072,3.799999952,20,NY,"10,000+"
Data Analyst,Java| R| Python,Capgemini,Consulting and Business Services,6072,3.799999952,20,NY,"10,000+"
Data Analyst,Java| R| Python,Capgemini,Consulting and Business Services,6072,3.799999952,20,NY,"10,000+"
Data Analyst,Java| R| Python,Capgemini,Consulting and Business Services,6072,3.799999952,20,NY,"10,000+"
Listings Data Analyst - New York,,JLL,Real Estate,1887,3.799999952,7,NY,"10,000+"
Data Analyst,Data Analysis,Regional One Health,,155,3.799999952,5,TN,
Senior Data Analyst,Machine Learning| SQL| Python,GlassDoor,"Restaurants, Travel and Leisure",2,3,1,MN,"10,000+"
Business Data Analyst,Data Mining| Microsoft SQL Server| Data Warehouse| Microsoft Powerpoint| Data Analysis| SAS| Microsoft Office,Alltran,Banks and Financial Services,96,2.700000048,1,MN,"Less than 10,000"
Project Consulting & Data Analyst,Microsoft Powerpoint| Visual Basic| Microsoft Office| Excel| SQL| SharePoint| Visio| Management Consulting,Logic Rule,,,,13,WA,
Data Analyst,Data Analysis,Lutron Electronics,Consumer Goods and Services,79,3.700000048,30,PA,
Data Analyst,Machine Learning| Excel| SQL| Tableau,jump ramp,,,,30,NY,
Data Analyst,SQL,First National Bank of America,Banks and Financial Services,17,3.700000048,15,MI,
"Data Analyst, Users and Products",Ruby| Scripting| Perl| R| C/C++| SQL| Java| Analysis Skills| Management Consulting| Python,Google,Internet and Software,2641,4.300000191,30,CO,"10,000+"
research data analyst/statistician,Data Analysis| R| Tableau,Outreach Process Partners,,,,23,DC,
Data Analyst (Public Trust Clearable),Excel| Supply Chain Experience| Tableau,ECS Federal LLC,Consulting and Business Services,85,3.599999905,8,MD,
Associate Data Analyst,SQL| Tableau,Sentry Insurance,Insurance,258,3.400000095,5,WI,"Less than 10,000"
Data Analyst,Business Intelligence| Microsoft SQL Server| Data Mining| Oracle| Microsoft Access,WebMD,Internet and Software,157,3.599999905,7,NY,"Less than 10,000"
Sr Research Data Analyst,,Johns Hopkins University,Education and Schools,645,4.099999905,2,MD,"10,000+"
Environmental Data Analyst,Technical Writing| Statisical Analysis| SQL,AECOM,,3457,3.700000048,4,VA,"10,000+"
"Associate Analyst, Data Analytics",Microsoft Powerpoint| Excel,"CMI Media and Compas, Inc.",Consulting and Business Services,7,3.599999905,19,PA,"Less than 10,000"
Policy and Data Analyst,,Office of the Nassau County Comptroller,,,,30,NY,
Data Analyst - Health Informatics,XML| SPSS| SAS| SQL,IPRO,,31,3.799999952,15,NY,
Data Analyst - Predictive Modeler,MySQL| Data Mining| Machine Learning| R| SAS| Python| Tableau,Zeta Global,,15,3,3,TN,
Dow Logistics Technology Center Data Analyst,Microsoft Powerpoint| Excel| Microsoft Access| Tableau,The Dow Chemical Company,Energy and Utilities,1270,4,5,LA,"10,000+"
Materials Logistics Spec 3/Senior Data Analyst,Microsoft Powerpoint| SAP| Oracle| SQL| Excel| Microsoft Office| Microsoft Access| SharePoint,Siemens,Computers and Electronics,6479,4.099999905,1,NY,"10,000+"
Data Analyst Intern,SAS| Oracle| SQL| Tableau,Mid-Atlantic Permanente Medical Group,Health Care,4,3,18,MD,"Less than 10,000"
Data Analyst,,Emory University,Education and Schools,580,4.099999905,30,GA,
"Data Analyst (GIS, LiDar, Ortho/Imagery)",MicroStation| CAD| GIS| Basic Computer Skills,GeoDigital,,3,3,30,TX,
Data Analyst,Python,Sigma Space,,12,4,18,MD,
Data Analyst - Pharmacy,,Keck Medical Center of USC,Health Care,83,4.099999905,30,CA,
Senior Data Analyst,Machine Learning| SQL| Python,GlassDoor,"Restaurants, Travel and Leisure",2,3,1,OR,"10,000+"
Senior Data Analyst,Machine Learning| SQL| Python,GlassDoor,"Restaurants, Travel and Leisure",2,3,1,MA,"10,000+"
Data Analyst,,Fruition Partners,,7,4.099999905,12,NV,
DATA ANALYST,Data Analysis| R| SQL,IXIS,,,,30,VT,
Data Analyst,Excel,Alliance Health Professionals,,3,4,30,MI,
Research Data Analyst,R| Python| SQL,"Resource Systems Group, Inc.",,,,25,VT,
Problem Manager/Data Analyst,Six Sigma Certification| ITIL,CompuCom,Consulting and Business Services,1613,3.400000095,1,SC,"10,000+"
Healthcare Data Analyst,Data Analysis| SAS| Crystal Reports| SQL| Excel| Microsoft Access,Moda Health,,106,3.200000048,5,OR,
Data Analyst,Microsoft Powerpoint| SPSS| SQL| Excel| Microsoft Office,Germania Insurance,Insurance,18,4.099999905,30,TX,
Healthcare Data Analyst,Data Mining| Data Warehouse| Microsoft Powerpoint| Data Analysis| SQL| Tableau,"Lockton, Inc.",Insurance,174,4.099999905,6,TX,
Data Analyst,Business Intelligence| Data Mining| Data Analysis| Python| SQL,stearns bank,Banks and Financial Services,5,2.799999952,6,MN,
Data Analyst,Microsoft Word| Microsoft SQL Server| Time Management| Microsoft Powerpoint| Business Analysis,Technicolor,,1488,3.5,30,CA,
Data Analyst,Excel,Spy Pond Partners,,,,19,MA,
Metric & Data Analyst,Microsoft Powerpoint| Data Analysis| Microsoft Office| Microsoft Access,Lockheed Martin Corporation,Aerospace and Defense,6415,4.099999905,30,TX,"10,000+"
Business Data Analyst,SQL| Microsoft Office,Pinkerton,Consulting and Business Services,510,3.599999905,12,CA,"Less than 10,000"
Data Analyst,Business Intelligence| Microsoft Powerpoint| Power BI| SDLC| SAS| Microsoft Office| Tableau,Ukpeagvik Iñupiat Corporation/Bowhead Family of Companies,Government,9,2.900000095,4,DC,
RCM Data Analyst II,Data Analysis| Power BI| SQL,NextGen Healthcare,Internet and Software,87,3.400000095,7,MO,"Less than 10,000"
Data Analyst,Microsoft Powerpoint| SPSS| Data Analysis| Statisical Analysis| Quantitative Research| Excel| SQL,UNITED NEGRO COLLEGE FUND,,35,3.799999952,21,DC,
Data Analyst SmartHealth,Excel| SQL| Microsoft Access| Tableau,Ascension Healthcare,Health Care,457,3.299999952,5,WI,
Research Data Analyst,,University of California San Francisco,Education and Schools,282,4.199999809,20,CA,
Data Analyst,,Fitch Group,,,,5,IL,
North American National Accounts and Data Analyst,Power BI| Microsoft Office| Excel| Tableau,"Patagonia, Inc",Retail,11,3.900000095,6,NV,"Less than 10,000"
Workforce Data Analyst,Data Analysis,USfalcon,,39,4.099999905,30,DC,
WIC Senior Data Analyst,Business Intelligence| Microsoft SQL Server| Microsoft Powerpoint| Power BI| SQL| Microsoft Office| Tableau| Business Analysis,Texas Health and Human Services Commission,Government,867,3.5,13,TX,
Data Analyst,Google Analytics| SQL,The Motley Fool,"Media, News and Publishing",20,4.5,30,VA,"Less than 10,000"
Health Data Analyst,Quantitative Analysis| Data Mining| Microsoft Powerpoint| Microsoft Office,Booz Allen Hamilton,Consulting and Business Services,1733,3.900000095,8,MD,"10,000+"
Data Analyst,Microsoft Powerpoint| Visual Basic| R| SAS| Microsoft Office| SQL| Tableau,"Federal Management Systems, Inc.",,34,3.900000095,14,MD,
Associate Data Analyst-Integra,R| Python| SQL,Care New England Health System,Health Care,33,3.599999905,30,RI,
Data Analyst,Oracle| SQL,Capgemini,Consulting and Business Services,6072,3.799999952,7,CT,"10,000+"
Data Analyst,Oracle| SQL,Capgemini,Consulting and Business Services,6072,3.799999952,6,CT,"10,000+"
Technical Data Analyst,Cerner| Time Management| Microsoft Powerpoint| XML| Power BI| JSON| Microsoft Office,U.S. Anesthesia Partners,Health Care,45,3.200000048,2,TX,"Less than 10,000"
Senior Data Analyst,,The University of Pittsburgh,Education and Schools,541,4.199999809,1,PA,
Data Analyst II,Data Warehouse| Data Analysis| SQL| Microsoft Access,Centene,InsuranceHealth Care,1134,3.299999952,19,CA,"Less than 10,000"
Data Analytics Analyst,Alteryx| SQL| Excel,Cardinal Health,Health Care,2722,3.599999905,30,MA,"10,000+"
Data Analyst,Microsoft Powerpoint| R| SAS| SQL| Microsoft Office| Tableau,Progressive,Insurance,2080,3.799999952,8,OH,"10,000+"
QM Data Analyst,SAS| SQL| Tableau| STATA| Data Analysis,Alameda Health Consortium/Community Health Center Network,,,,15,CA,
Data Analyst - Cardiology,,Columbia University,Education and Schools,830,4.099999905,30,NY,
Data Analyst – Healthcare – St. Louis MO,Data Analysis| SAS| Excel| SQL| Microsoft Office,Courtney Raymond Consultants,,,,19,MO,
Data Analyst,Salesforce CRM| Google Analytics,"Facing History and Ourselves, Inc",,,,30,MA,
Data Analyst,Quantitative Analysis| Microsoft Powerpoint| SAS| SQL,BBYO -,,,,15,PA,
Data Analyst,S3| Python| SQL| JSON| AWS,thrivecausemetics.com,,,,23,CA,
Data Analyst,Statisical Analysis| SQL| Tableau,BI Worldwide,,45,4,30,MN,
Research Data Analyst,,University of California San Francisco,Education and Schools,282,4.199999809,26,CA,
Quality Data Analyst,,Altair Engineering,,,,2,MI,
Data Analyst,Data Mining| SQL| Tableau,Advanced ICU Care,,20,2.599999905,14,MO,
Data Analyst,Analysis Skills| Machine Learning| R| Python| Tableau,Lockheed Martin Corporation,Aerospace and Defense,6415,4.099999905,30,TX,"10,000+"
Securities Data Analyst,SharePoint| Regulatory Reporting| Microsoft Office,RBC,Banks and Financial Services,2904,4.099999905,2,MN,"10,000+"
Data Analyst,Salesforce CRM| R| Tableau,Youth Policy Institute,Organization,,,29,CA,"Less than 10,000"
Quality Data Analyst,Quality Management| Microsoft Office,Corning,Construction,431,4,10,MA,"10,000+"
Data Analyst - Centrality,Microsoft Powerpoint| Hadoop| Power BI| R| SAS| SQL| Tableau| Alteryx| Python,U.S. Bank,Banks and Financial Services,5986,3.700000048,30,MN,"10,000+"
Data Analyst,Statisical Analysis| Excel| Microsoft Office,"AnaVation, LLC",,,,15,DC,
Senior Data Analyst,Machine Learning| SQL| Python,GlassDoor,"Restaurants, Travel and Leisure",2,3,1,MD,"10,000+"
"Data Analyst - Python, SQL",Data Mining| Python| SQL,Stanford University,Education and Schools,530,4.300000191,29,CA,"Less than 10,000"
"Data Analyst, Virtual Health",SAS| Oracle| SQL| Tableau,Children's Medical Center,Health Care,99,3.700000048,30,TX,
"Data Analyst, Industry Insights",Time Management| Excel| SQL| Tableau,"TrueCar, Inc.",,21,3.400000095,22,CA,
Data Analyst - Personalized Customer Experience,JavaScript| R| SQL| HTML5| Tableau| Confluence| CSS| Python| Jira,Bose,Computers and Electronics,717,4.199999809,30,MA,
Data Analyst,Data Mining| Statisical Analysis,Ingram Content Group,,96,3.200000048,21,TN,"Less than 10,000"
Data Analyst,SAS| Microsoft Office| SQL,Progressive,Insurance,2080,3.799999952,4,OH,"10,000+"
Digital Content Data Analyst,Excel| Customer Service| Microsoft Access,The Home Depot,RetailConsumer Goods and Services,41290,3.799999952,5,GA,"10,000+"
Data Analyst II,Data Analysis| SQL| Microsoft Access,Centene,InsuranceHealth Care,1134,3.299999952,21,MO,"Less than 10,000"
Data Analyst II,Data Analysis| SQL| Microsoft Access,Centene,InsuranceHealth Care,1134,3.299999952,22,MO,"Less than 10,000"
Data Analyst - Content Team,SQL| Data Analysis,Twitch,"Media, News and Publishing",44,4.5,30,CA,"Less than 10,000"
"Data Analyst- Sales Tools- Bothell, WA",,Fruition Partners,,7,4.099999905,4,WA,
Data Analyst_ HIM,Microsoft Powerpoint| Microsoft Office,Renown Health,Health Care,118,3.299999952,28,NV,"Less than 10,000"
Listings Data Analyst - Los Angeles,,JLL,Real Estate,1887,3.799999952,7,CA,"10,000+"
"Consulting Data Analyst - Epidemiology, Bio-statistics, SAS,...",,Kaiser Permanente,Health Care,8164,4.199999809,8,CA,"10,000+"
"Data Analyst- Sales Tools- Bothell, WA",,DXC,Internet and Software,1642,3.299999952,4,WA,
Data Analyst,R| SAS| Statisical Analysis| SQL| Microsoft Office| Microsoft Access| STATA,Central Health,,,,30,TX,
Data Analyst,Data Mining| SQL| Microsoft Office| Tableau| Data Analysis,Western National Insurance Group,Insurance,3,2,30,MN,
Minneapolis Promise Zone-Research & Data Analyst,Tableau,AmeriCorps,Government,2094,4.400000095,30,MN,
Data Analyst,Excel| SQL,Gaylord Specialty Healthcare,Health Care,17,4,30,CT,
