Job_Title,Skill,Company,Company_Industry,No_of_Reviews,No_of_Stars,Date_Since_Posted,Location,Company_Employees
"Analyst, Imagery Analytics",R| Python| SQL| Tableau,Wayfair,Internet and Software,397,3.4,26,MA,"Less than 10,000"
Manager - Data Analytics Platforms,Java| Business Intelligence| Python| C/C++| SQL| Tableau,Wayfair,Internet and Software,397,3.4,18,MA,"Less than 10,000"
Senior Data Analyst,Microsoft SQL Server| Microsoft Powerpoint| Project Management| R| Oracle| SAS| Microsoft Office| SQL| Tableau| MySQL| Alteryx| QlikView| Visio| Data Analysis,Washington State Hospital Association (WSHA),Blank,,,1,WA,
"Live Operations Data Analyst, World of Tanks PC",Machine Learning| Data Warehouse| Hadoop| Oracle| Python| SQL| Excel| Tableau,Wargaming.net,Blank,11,4,30,TX,
Senior Data Analyst,Supervising Experience| SQL| Tableau,Walmart eCommerce,Internet and Software,252,3.7,27,CA,"Less than 10,000"
Data Analyst,Hive| Spark| Microsoft Powerpoint| SQL| Tableau,Walmart eCommerce,Internet and Software,252,3.7,27,CA,"Less than 10,000"
Staff Data Analyst-Tech,Statistical Software| Machine Learning| Power BI| R| SAS| Tableau| Supervising Experience| Alteryx| Python,Walmart,Retail,157456,3.6,8,AR,"10,000+"
Senior Data Analyst,Supervising Experience| SQL| Tableau,Walmart,Retail,157456,3.6,27,CA,"10,000+"
Sr Mgr I Data Analyst-Tech,Supervising Experience,Walmart,Retail,157456,3.6,30,AR,"10,000+"
Data Analyst,Hive| Spark| Microsoft Powerpoint| SQL| Tableau,Walmart,Retail,157456,3.6,27,CA,"10,000+"
"Senior Manager II, Site Analytics",Data Mining| Spark| Microsoft Powerpoint| Python| SQL,Walmart,Retail,157475,3.6,30,CA,"10,000+"
"Data Analyst, Product",R| SQL| Data Warehouse| Python,VSCO,Blank,,,30,CA,
Sr. Data Analyst,Microsoft Powerpoint| Tableau,Voya Financial,Banks and Financial Services,203,3.4,30,GA,
VX1827 - SQL Developer/ Data Analyst,SQL| Excel,Vox Financial Partners,Blank,,,30,NY,
Master Data Analyst,Microsoft Office,Volvo Group,Auto,2015,4.1,11,PA,"10,000+"
Master Data Analyst,Microsoft Office,Volvo Group,Auto,2015,4.1,11,PA,"10,000+"
Data Analyst,SQL| Tableau| Java| Data Analysis| Python,Voloridge Investment Management,Blank,,,10,FL,
Sr. Administrative partner/JR Data Analyst,Microsoft Powerpoint| Data Analysis| Excel,Vivo,Blank,1907,4.3,30,CA,
Business Intelligence Data Analyst,Time Management| Power BI| Excel,Vitals,Blank,27,4.4,30,NJ,
Specialist I - Sr. Business Data Analyst,R| SAS| SQL| Tableau,Vistra Energy,Blank,5,4.6,21,TX,
"VP, Analytics",Salesforce CRM| Management Experience| Statisical Analysis| Business Management| SQL| Excel| Tableau| Business Analysis,Vistage Worldwide,Consulting,10,3.8,30,CA,"Less than 10,000"
Data Analyst,PMP| Oracle| Microsoft Office| Data Analysis,Vista Technology Services,Consulting,2,5,30,VA,"Less than 10,000"
"Tableau Developer, Data Products",Java| Business Intelligence| Hadoop| SAS| Python| SQL| Tableau,Visa,Banks and Financial Services,656,4,30,CA,"10,000+"
Data Analyst III,Accounting| GAAP| IFRS| Excel,Virtus Partners,Blank,19,2.6,21,NY,
Senior Data Analyst,Microsoft SQL Server| QlikView| Data Analysis| R| SAS| Oracle| Python| SQL| Tableau,VirtueGroup,Blank,,,30,GA,
Data Analyst,Data Mining| Data Analysis| Google Suite| Quantitative Research| Microsoft Office| SQL,Virtru,Blank,,,23,DC,
Healthcare Data Analyst,RHIA| CPHQ| Medical Terminology| Power BI| SQL,Virginia Mason Medical Center,Health Care,138,3.9,12,WA,"Less than 10,000"
Data Analyst,JavaScript| R| SQL| HTML5| Tableau| CSS,Virginia Jobs,Government,150,3.8,5,VA,
Data Analyst,SAS| Microsoft Office| SQL| Tableau| SPSS| Microsoft Windows Server| Business Analysis,Virbac Animal Health,Blank,22,3.6,30,TX,
Data Analyst,R| Python| Excel| SQL,"Viral Launch, Inc.",Blank,,,6,IN,
Data Analyst University Grad,Big Data| Alteryx| R| Python,ViaSat,Telecommunications,182,3.8,12,CA,"Less than 10,000"
Data Analyst & Analytics [Healthcare] for large publicly tra...,Microsoft SQL Server| Visio| Crystal Reports| SQL,"Vertical Careers, Inc.",Blank,,,30,IL,
Sr Data Analyst,Data Mining| Microsoft Powerpoint| Data Analysis| SQL| Microsoft Office,Verscend Technologies,Blank,75,3.4,9,MN,
Sr Data Analyst,Data Mining| Microsoft Powerpoint| Data Analysis| SQL| Microsoft Office,Verscend Technologies,Blank,75,3.4,20,MD,
Data Analyst II,Business Intelligence| Crystal Reports| Microsoft Office| Tableau,Vera Whole Health,Blank,6,4.3,15,WA,
Data Analyst,Project Management,VCU Health System,Health Care,169,3.6,30,VA,"10,000+"
Risk Data Analyst,Certified Internal Auditor| Microsoft Powerpoint| CPA| RMF| Tableau,Vanguard,Banks and Financial Services,740,3.9,12,PA,"10,000+"
Advanced Data Analyst,Quality Control| Data Mining| Scripting| Project Management| R| SAS| SQL| Tableau| Python,Vanguard,Banks and Financial Services,740,3.9,8,PA,"10,000+"
Department Data Analyst - Ft. Worth - Moncrief Cancer Instit...,R| SAS| SQL,UT Southwestern Medical Center,Health Care,500,3.9,23,TX,
Workforce Data Analyst,Data Analysis,USfalcon,Blank,39,4.1,30,DC,
Management Analyst (Data Governance and Analytics),,usajobs.gov,Government,,,1,DC,"10,000+"
Data Analyst - Channel Management,SAS| Tableau,USAA,Insurance,2174,4,26,TX,"10,000+"
Associate Actuary (Claims Analytics),R| Python,USAA,Insurance,2175,4,1,USA,"10,000+"
Associate Actuary (Claims Analytics),R| Python,USAA,Insurance,2175,4,1,VA,"10,000+"
Associate Actuary (Claims Analytics),R| Python,USAA,Insurance,2175,4,1,FL,"10,000+"
Associate Actuary (Claims Analytics),R| Python,USAA,Insurance,2175,4,1,AZ,"10,000+"
Associate Actuary (Claims Analytics),R| Python,USAA,Insurance,2175,4,1,TX,"10,000+"
Associate Actuary (Claims Analytics),R| Python,USAA,Insurance,2174,4,1,CO,"10,000+"
Associate Actuary (Claims Analytics),R| Python,USAA,Insurance,2175,4,1,TX,"10,000+"
Data Analyst,,US Software & Consulting,Blank,,,22,VA,
DATA ANALYST,R| SQL| STATA| Python,University of Washington,Education and Schools,887,4.2,12,WA,
Medication Utilization Data Analyst,JavaScript| Data Analysis| CSS| Excel| HTML5| SQL,University of Virginia Health System,Health Care,84,3.6,4,VA,"Less than 10,000"
Business Data Analyst,Survey Design| Microsoft Powerpoint,University of Utah,Education and Schools,430,4.2,1,UT,"10,000+"
Bioinformatics Data Analyst I,Molecular Biology| Linux| C/C++| Java| Software Development| Data Analysis| Shell Scripting| OOP| Python,University of Utah,Education and Schools,430,4.2,27,UT,"10,000+"
Business Data Analyst,STATA| Data Mining| R| SAS| SQL| Tableau,University of Utah,Education and Schools,430,4.2,30,UT,"10,000+"
Business Data Analyst,Data Mining,University of Utah,Education and Schools,430,4.2,30,UT,"10,000+"
Business Data Analyst,Data Mining,University of Utah,Education and Schools,430,4.2,30,UT,"10,000+"
Bioinformatics Data Analyst I,Machine Learning| R| C/C++| SQL| Natural Language Processing| STATA| Analysis Skills| Software Development| Data Analysis| OOP| Molecular Biology| Epidemiology| Data Mining| Time Management| Hadoop| SAS| Java| Python,University of Utah,Education and Schools,430,4.2,30,UT,"10,000+"
Business Data Analyst Sr,STATA| R| SAS,University of Utah,Education and Schools,430,4.2,14,UT,"10,000+"
Business Data Analyst Sr,Quantitative Analysis| Excel| SQL| Tableau,University of Utah,Education and Schools,430,4.2,13,UT,"10,000+"
Business Data Analyst Sr,STATA| Data Mining| R| SAS| SQL| Tableau,University of Utah,Education and Schools,430,4.2,30,UT,"10,000+"
Internal Audit Data Analyst,Data Mining| Microsoft Powerpoint| Power BI| Microsoft Office| SQL| SharePoint| Microsoft Word,University of Texas at San Antonio,Education and Schools,281,4.3,6,TX,
Data Analyst (S01182P),PeopleSoft| Microsoft Powerpoint| OBIEE| SAS| Oracle| Excel| SQL| Tableau| PL/SQL| Design Experience| Data Analysis,University of Texas at Arlington,Education and Schools,454,4.3,18,TX,
DOCM DATA ANALYST D,JavaScript| Data Mining| XML| SAS| SQL| SPSS,University of Pennsylvania,Education and Schools,722,4.2,4,PA,"10,000+"
DATA ANALYST,STATA| R| SAS| SQL,University of Pennsylvania,Education and Schools,722,4.2,30,PA,"10,000+"
DATA ANALYST C,Linux| Machine Learning| Shell Scripting| Image Processing| C/C++| Python,University of Pennsylvania,Education and Schools,722,4.2,30,PA,"10,000+"
Space Planning Data Analyst,Data Mining| Microsoft Powerpoint| Power BI| Statisical Analysis| Microsoft Office| Tableau,University of Minnesota,Education and Schools,930,4.2,11,MN,
Data Analyst,Salesforce CRM| Business Intelligence| Data Mining| Microsoft SQL Server| Google Analytics| Microsoft Powerpoint| R| SAS| SQL| Tableau| Python,University of Michigan,Education and Schools,1332,4.4,12,MI,
Data Analyst,Microsoft SQL Server| Oracle| Crystal Reports| SQL| Tableau,University of Massachusetts Medical School,Education and Schools,689,4.2,30,MA,
Healthcare Data Analyst II - MHE,Data Mining| Time Management| SAS| Excel| SQL,University of Massachusetts Medical School,Education and Schools,689,4.2,1,MA,
Reimbursement Data Analyst,,University of Maryland Medical System,Health Care,737,4,9,MD,"10,000+"
Electronic Communications Data Analyst,Salesforce CRM,University of Colorado,Education and Schools,758,4.2,30,CO,
Benefits Data Analyst - Health Analytics,,University of California UCOP,Education and Schools,1198,4.3,30,CA,
Improvement Data Analyst,Business Intelligence| Data Mining| Microsoft Powerpoint| R| Microsoft Office| SQL| Tableau| Microsoft Word,University of California San Francisco Medical Center,Health Care,300,4.2,30,CA,
Research Data Analyst,,University of California San Francisco,Education and Schools,282,4.2,11,CA,
Research Data Analyst,Clinical Trials| SQL,University of California San Francisco,Education and Schools,282,4.2,30,CA,
Research Data Analyst,,University of California San Francisco,Education and Schools,282,4.2,20,CA,
Research Data Analyst,,University of California San Francisco,Education and Schools,282,4.2,26,CA,
Research Data Analyst,,University of California San Francisco,Education and Schools,282,4.2,7,CA,
Research Data Analyst,Machine Learning| R,University of California San Francisco,Education and Schools,282,4.2,30,CA,
Financial and Data Analyst,Tableau,University of California San Francisco,Education and Schools,282,4.2,4,CA,
Financial and Data Analyst,Tableau,University of California San Francisco,Education and Schools,282,4.2,18,CA,
"HR Reporting and Data Analyst , CSS HR/APS -",CSS,University of California Berkeley,Education and Schools,263,4.1,7,CA,
DATA ANALYST/SPECIALIST - Admitting (Full Time),Data Mining| Analysis Skills,Universal Health Services,Health Care,56,4,30,DC,
Data Analyst,Microsoft Powerpoint| SPSS| Data Analysis| Statisical Analysis| Quantitative Research| Excel| SQL,UNITED NEGRO COLLEGE FUND,Blank,35,3.8,21,DC,
Data Analyst,Data Mining| R| SAS| SQL| Tableau| Python,United Fire Group,Insurance,33,3.5,30,IA,"Less than 10,000"
Healthcare Data Analyst I,SAS| SQL| Microsoft Office| Excel| Microsoft Access,UNITE HERE HEALTH,Blank,9,3.9,30,NV,
Cyber Security Data Analyst,Microsoft Powerpoint| Microsoft Office| ITIL,Unisys,Internet and Software,1924,3.7,30,UT,"10,000+"
Data Analyst II,,Unisys,Internet and Software,1924,3.7,30,MD,"10,000+"
Digital Data Analyst,Microsoft SQL Server| Microsoft Powerpoint| Microsoft Office| SQL| Excel| Microsoft Access,Union Bank & Trust,Banks and Financial Services,65,3.4,30,VA,"Less than 10,000"
Digital Data Analyst,Google Analytics| Marketing| Digital Marketing| Tableau| Multichannel Marketing| Attribution Modeling,Unilever,Consumer Goods and Services,5416,4.2,30,NJ,"10,000+"
Business Data Analyst,Power BI| Data Analysis| Statisical Analysis| Excel,Underwriters Laboratories,Blank,262,3.7,30,IL,
"Data Analyst, Pricing",Predictive Analytics| Machine Learning| R| MATLAB| Python| C/C++| SQL| Tableau,Under Armour,Consumer Goods and Services,620,3.9,1,MD,"Less than 10,000"
Data Analyst,JavaScript| Data Warehouse| R| Python| SQL| Tableau,Under Armour,Consumer Goods and Services,620,3.9,30,MD,"Less than 10,000"
Data Analyst,JavaScript| Data Warehouse| R| Python| SQL| Tableau,Under Armour,Consumer Goods and Services,620,3.9,30,MD,"Less than 10,000"
DATA ANALYST,JavaScript| Data Warehouse| R| Python| SQL| Tableau,Under Armour,Consumer Goods and Services,620,3.9,30,MD,"Less than 10,000"
Business Data Analyst,Power BI| Data Analysis| Statisical Analysis| Excel,UL LLC,Blank,262,3.7,30,IL,
Data Analyst,Business Intelligence| Microsoft Powerpoint| Power BI| SDLC| SAS| Microsoft Office| Tableau,Ukpeagvik Iñupiat Corporation/Bowhead Family of Companies,Government,9,2.9,4,DC,
HR Data Analyst,Microsoft Powerpoint,uJoynus,Industrial Manufacturing,34,3.8,30,CA,"Less than 10,000"
"Data Analyst, Impact and Performance Assessment",MySQL| SPSS| Scripting| R| SAS| Python| SQL| Tableau,UJA Federation of New York,Blank,17,3.8,30,NY,
Compliance Data Analyst,Adobe Acrobat| JavaScript| Business Intelligence| Microsoft SQL Server| Microsoft Powerpoint| Crystal Reports| SQL| HTML5| Tableau| Visio| CSS,UCLA Health,Health Care,357,4.2,10,CA,
Research Data Analyst 2,Microsoft Powerpoint| R| Microsoft Office,UC DAVIS HEALTH SYSTEM,Education and Schools,196,4.1,1,CA,
Research Data Analyst 3,Machine Learning| R,UC DAVIS HEALTH SYSTEM,Education and Schools,196,4.1,1,CA,
Data Analyst,Microsoft Powerpoint| SQL| Excel| Microsoft Office,UBS,Banks and Financial Services,1674,3.9,30,NJ,"10,000+"
Sr. Data Analyst,Informatica,UBS,Banks and Financial Services,1674,3.9,30,NJ,"10,000+"
Data Analyst - Group Internal Audit,Alteryx| Project Management| SAS| Oracle| SQL| Tableau,UBS,Banks and Financial Services,1674,3.9,23,USA,"10,000+"
"Business Analyst – Data Warehouse, Analytics & BI",Data Warehouse| Project Management| SQL,UBS,Banks and Financial Services,1674,3.9,30,NY,"10,000+"
IT Big Data Analyst,Pig| Hive| Hadoop| Kafka| SQL| HBase| Big Data| Cassandra| Spark| Informatica| NoSQL,UBS,Banks and Financial Services,1674,3.9,30,NJ,"10,000+"
Data Analyst,Project Management| R| Python| SQL| Tableau,Uber,Internet and Software,641,3.8,30,CA,"10,000+"
"Data Analyst I, Safety and Insurance",Hive| Spark| R| Python| SQL,Uber,Internet and Software,641,3.8,30,CA,"10,000+"
Data Analyst - Verticals,SQL,Uber,Internet and Software,641,3.8,30,WA,"10,000+"
Data Analyst,Hive| Machine Learning| Experimental Design| Python| SQL| Tableau,Uber,Internet and Software,641,3.8,30,CA,"10,000+"
Data Analyst - Global Security,JavaScript| Microsoft SQL Server| Microsoft Powerpoint| Python| SQL| Tableau,Uber,Internet and Software,641,3.8,30,CA,"10,000+"
Data Analyst - Financial Intelligence,Hive| Hyperion| R| Python| SQL| Tableau,Uber,Internet and Software,641,3.8,30,CA,"10,000+"
"Data Analyst II, Safety & Insurance",Hive| Spark| R| Python| SQL,Uber,Internet and Software,641,3.8,19,CA,"10,000+"
Analytics & Insights Senior Data Analyst,Hive| Experimental Design| R| Python| SQL,Uber,Internet and Software,641,3.8,30,NY,"10,000+"
"Data Analyst Manager, Safety and Insurance",Hive| Data Analysis| R| Python| SQL,Uber,Internet and Software,641,3.8,30,CA,"10,000+"
"Internal Audit Analyst, Data Analytics and Automation",Hive| Data Analysis| R| Oracle| Python| SQL,Uber,Internet and Software,641,3.8,30,CA,"10,000+"
"Data Analyst Survey Insights, Safety & Insurance",Survey Design| Hive| Spark| R| Python| SQL,Uber,Internet and Software,641,3.8,30,CA,"10,000+"
Data Analyst - Strategic Finance,Hive| Business Intelligence| Machine Learning| Project Management| R| Python| SQL,Uber,Internet and Software,641,3.8,30,CA,"10,000+"
Business Intelligence / Data Analyst II,Hive| Business Intelligence| Spark| Data Warehouse| Hadoop| Scripting| Python| SQL,Uber,Internet and Software,641,3.8,30,CA,"10,000+"
Analytics & Insights Manager,R| Python| SQL,Uber,Internet and Software,642,3.7,21,CA,"10,000+"
"Head of Restaurant Growth Analytics and Insights, Uber Eats...",B2B Sales| SPSS| R| Python| SQL,Uber,Internet and Software,641,3.8,6,CA,"10,000+"
Data Analyst - Centrality,Microsoft Powerpoint| Hadoop| Power BI| R| SAS| SQL| Tableau| Alteryx| Python,U.S. Bank,Banks and Financial Services,5986,3.7,30,MN,"10,000+"
Data Analyst - Mortgage Servicing,Microsoft SQL Server| Data Warehouse,U.S. Bank,Banks and Financial Services,5986,3.7,1,TX,"10,000+"
Fraud Data Analyst,Data Analysis| Oracle| SQL,U.S. Bank,Banks and Financial Services,5986,3.7,25,MN,"10,000+"
Data Analyst - Financial Crimes,Data Mining| SAS| Python| Audits| SQL| Microsoft Office,U.S. Bank,Banks and Financial Services,5986,3.7,4,OH,"10,000+"
Technical Data Analyst,Cerner| Time Management| Microsoft Powerpoint| XML| Power BI| JSON| Microsoft Office,U.S. Anesthesia Partners,Health Care,45,3.2,2,TX,"Less than 10,000"
Specialist I - Sr. Business Data Analyst,R| SAS| SQL| Tableau,TXU Energy,Energy and Utilities,262,3.7,21,TX,"Less than 10,000"
Data Analyst - Content Team,SQL| Data Analysis,Twitch,"Media, News and Publishing",44,4.5,30,CA,"Less than 10,000"
Data Analyst - Operational Excellence,Go| SQL| Tableau| Data Analysis| Python,Twitch,"Media, News and Publishing",44,4.5,30,CA,"Less than 10,000"
Data Analyst - Video Platform,Go| SQL| Tableau| Data Analysis| Python,Twitch,"Media, News and Publishing",44,4.5,30,CA,"Less than 10,000"
